BusinessID,CoordinatesLongitude,InsertedAtTimestamp,Address,CoordinatesLatitude,Rating,Cuisine,ZipCode,Name,NumberOfReviews
uZ_Ht4U1dAdUrdUNdoVHOg,-73.98219,1555270376731,268 Prospect Park W,40.65854,4,indian,11215,A8 Pan Asian Vegan Cuisine,18
eXrk95smyEBBIOJigCvo7Q,-73.828362131187,1555270373760,116-1 101st Ave,40.6893308825209,2.5,indian,11419,Punjabi Diner,11
nqGp208f_wdqoLfNQgn_Ig,-73.892382,1555270369678,3711 73rd St,40.748491,4,indian,11372,Haat Bazaar,103
g7pAeomzeIQY4mCfpOyHUQ,-73.94657,1555271050507,1675 Lexington Ave,40.79162,4,mexican,10029,El Nuevo Caribeno,81
OCTiJwvjoK81WoDwsTkFvA,-73.997447,1555270462619,136 Mulberry St,40.718554,4,italian,10013,Paesano of Mulberry Street,663
3C6c_zqRz_U2AyeN_7LTsg,-73.89275,1555270365571,72-20 Roosevelt Ave,40.74647,4,indian,11372,Himalayan Yak,580
nUpA3sY5b6dynC7aj0eV6A,-73.984456,1555270478861,17 Clinton St,40.720852,4.5,italian,10002,Rizzo's Fine Pizza,674
wq43ljNSuSMG81qKHE7YpQ,-74.003159,1555270477046,259 W 4th St,40.735377,3.5,italian,10014,Sant Ambroeus West Village,228
unz_YBwCWg-O5id5rxSyDA,-73.9674267,1555271128151,251 E 53rd St,40.7570698,3.5,thai,10022,Hot Kitchen,168
Vf38zUk09gMgEzg60BrACA,-73.98079,1555270428150,154 W 72nd St,40.77807,4.5,japanese,10023,Dark Bullet Sake & Oyster Bar,60
b_RZL-wE1PpH0nX9cv7twg,-73.851045,1555270375888,1248 Castle Hill Ave,40.8333,3.5,indian,10462,Melanie's Roti & Grill Restaurant,42
HodL0fXoF08C3Ir-kLeTtw,-73.95157,1555270470610,14 Bedford Ave,40.72371,5,italian,11222,Forma,22
